"Centroid Data for pc board: ""ABE-Stat1_01_03"" as of: 5/11/2018 12:29",,,,
Measurements are in inches. Comma delimited,,,,
Only surface mount components included,,,,
,,,,
RefDes,Layer,LocationX,LocationY,Rotation
A1,Top,0.24,0.7,90
A2,Top,0.237,2.29,90
C1,Top,1.925,3.3,0
C2,Top,2.075,3.145,90
C3,Top,2.62,3.34,90
C4,Top,2.395,3.34,90
C5,Top,1.175,2.475,270
C6,Top,1.44,2.595,270
C7,Top,1.855,2.275,0
C8,Top,2.24,2.665,90
C9,Top,2.333,1.942,270
C10,Top,2.335,1.405,0
C11,Top,2.1,1.815,180
C12,Top,1.675,1.762,90
C13,Top,1.895,1.33,180
C14,Top,1.955,0.91,90
C15,Top,2.085,0.185,0
C16,Top,1.837,0.977,270
C17,Top,2.522,2.667,90
C18,Top,0.583,0.32,180
C19,Top,0.54,1.955,180
C20,Top,1.095,2.475,270
C21,Top,1.925,3.405,0
C22,Top,2.075,3.315,270
C23,Top,2.505,3.34,90
C24,Top,0.438,2.982,90
C25,Top,0.378,2.623,0
C26,Top,2.32,2.665,90
C27,Top,1.635,2.59,180
C28,Top,1.675,2.745,270
C29,Top,1.575,2.41,90
C30,Top,1.845,2.365,180
C31,Top,1.94,1.815,180
C32,Top,2.26,1.815,0
C33,Top,1.415,3.275,270
C34,Top,0.83,3.085,270
C35,Top,0.52,2.982,270
C36,Top,1.055,2.22,180
C37,Top,1.438,1.963,0
C38,Top,1.89,2.145,45
C39,Top,1.825,0.6,90
C40,Top,1.615,3.275,270
D1,Top,0.805,3.36,180
D2,Top,0.625,3.21,180
FB1,Top,1.445,3.405,180
FB2,Top,1.445,3.145,180
FB3,Top,0.398,2.75,90
FB4,Top,0.47,2.84,90
FB5,Top,0.36,2.985,270
FB6,Top,2,3.08,90
J1,Top,2.72,0.605,0
J2,Top,2.715,1.355,0
J3,Top,0.48,3.405,90
J4,Top,0.14,3.13,180
J5,Top,0.675,1.67,0
LED1,Top,0.627,2.882,270
LED2,Top,0.125,1.125,0
LED3,Top,1.1,0.595,180
Q1,Top,1.14,3.085,180
Q2,Top,0.945,3.085,0
Q3,Top,1.155,0.395,90
Q4,Top,0.8,0.395,90
Q5,Top,0.985,0.395,90
Q6,Top,0.84,0.71,270
Q7,Top,0.99,2.73,270
Q8,Top,2.68,2.866,180
Q9,Top,2.68,2.63,180
R1,Top,0.12,2.623,0
R2,Top,0.263,1.125,270
R3,Top,0.343,1.125,270
R4,Top,0.568,1.095,0
R5,Top,0.422,1.125,90
R6,Top,0.263,0.307,0
R7,Top,0.415,1.63,90
R8,Top,1.27,3.085,270
R9,Top,1.195,3.25,90
R10,Top,0.95,2.895,270
R11,Top,0.535,0.1,270
R12,Top,1.795,2.595,0
R13,Top,1.72,2.16,180
R14,Top,0.985,0.26,180
R15,Top,0.8,0.26,180
R16,Top,1.155,0.26,180
R17,Top,0.765,0.595,90
R18,Top,1.133,2.01,180
R19,Top,1.135,1.82,180
R20,Top,1.433,1.725,0
R21,Top,0.885,2.475,270
R22,Top,0.885,2.28,270
R23,Top,0.395,1.355,270
R24,Top,2.15,1.665,270
R25,Top,2.06,1.665,270
R26,Top,2.335,1.305,0
R27,Top,1.755,2.82,90
R28,Top,1.58,2.745,90
R29,Top,1.845,2.475,180
R30,Top,1.595,2.235,270
R31,Top,1.71,1.64,180
R32,Top,1.555,0.385,90
R33,Top,1.437,2.044,180
R34,Top,1.399,1.847,270
R35,Top,0.91,0.565,180
R36,Top,0.128,1.238,180
R37,Top,0.75,2.828,180
R38,Top,1.635,2.07,180
R39,Top,1.555,1.525,90
R40,Top,1.445,0.845,90
R41,Top,1.56,0.845,90
R42,Top,2.36,1.145,270
R43,Top,2.03,0.435,270
R44,Top,2.116,1.018,0
R45,Top,1.45,0.385,90
R46,Top,0.53,3.13,180
R47,Top,0.62,0.1,90
R48,Top,2.235,3.225,270
S1,Top,0.193,1.623,180
S2,Top,0.193,1.4,180
S3,Top,1.03,3.33,90
SH1,Top,1.865,1.515,0
U1,Top,0.665,3.08,90
U2,Top,0.19,2.8,180
U3,Top,1.93,3.185,0
U4,Top,2.515,3.145,0
U5,Top,0.868,0.998,180
U6,Top,1.042,1.29,180
U7,Top,0.96,1.945,0
U8,Top,0.96,1.64,0
U9,Top,2.26,0.405,0
U10,Top,1.765,0.815,180
U11,Top,2.175,2.4,90
U12,Top,2.1,1.995,0
U13,Top,1.425,2.765,90
U14,Top,1.565,1.295,90
U15,Top,1,0.74,0
U16,Top,1.5,0.64,90
U17,Top,2.005,0.68,270
U18,Top,1.575,1.81,270
U19,Top,1.7,2.405,270
U20,Top,1.947,1.22,0
U21,Top,1.953,1.061,180
U22,Top,2.08,0.29,180
X1,Top,2.567,2.522,90
